pos,variable,label,col_type,missing,value_labels
340,sap25_1,Global Rating of Bizarre Behaviour,dbl+lbl,400,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
341,sap26_1,Derailment,dbl+lbl,403,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
342,sap27_1,Tangentiality,dbl+lbl,401,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
343,sap28_1,Incoherence,dbl+lbl,401,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
344,sap29_1,Illogicality,dbl+lbl,401,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
345,sap30_1,Circumstantiality,dbl+lbl,401,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
346,sap31_1,Pressure of Speech,dbl+lbl,401,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
347,sap32_1,Distractible Speech,dbl+lbl,402,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
348,sap33_1,Clanging,dbl,401,NULL
349,sap34_1,Global Rating of Postive Formal Thought Disorder,dbl+lbl,400,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
350,sap1_2,Auditory Hallucinations,dbl+lbl,305,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
351,sap2_2,Voices Commenting,dbl+lbl,305,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
352,sap3_2,Voices Conversing,dbl+lbl,305,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
353,sap4_2,Somatic or Tactile Hallucinations,dbl+lbl,304,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
354,sap5_2,Olfactory Hallucinations,dbl+lbl,305,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
355,sap6_2,Visual Hallucinations,dbl+lbl,305,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
356,sap7_2,Global Rating of Hallucinations,dbl+lbl,305,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
357,sap8_2,Persecutory Delusions,dbl+lbl,305,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
358,sap9_2,Delusions of Jealousy,dbl+lbl,304,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
359,sap10_2,Delusions of Guilt or Sin,dbl+lbl,305,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
360,sap11_2,Grandiose Delusions,dbl+lbl,305,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
361,sap12_2,Religious Delusions,dbl+lbl,304,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
362,sap13_2,Somatic Delusions,dbl+lbl,304,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
363,sap14_2,Delusions of Reference,dbl+lbl,305,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
364,sap15_2,Delusions of Being Controlled,dbl,309,NULL
365,sap16_2,Delusions of Mind Reading,dbl+lbl,305,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
366,sap17_2,Thought Broadcasting,dbl+lbl,305,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
367,sap18_2,Thought Insertion,dbl+lbl,305,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
368,sap19_2,Thought Withdrawal,dbl+lbl,305,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
369,sap20_2,Global Rating of Delusions,dbl+lbl,305,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
370,sap21_2,Clothing and Appearrance,dbl+lbl,304,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
371,sap22_2,Social and Sexual Behaviour,dbl+lbl,304,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
372,sap23_2,Aggressive and Agitated Behaviour,dbl+lbl,305,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
373,sap24_2,Repetitive or Stereotyped Behaviour,dbl+lbl,304,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
374,sap25_2,Global Rating of Bizarre Behaviour,dbl+lbl,305,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
375,sap26_2,Derailment,dbl+lbl,306,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
376,sap27_2,Tangentiality,dbl+lbl,305,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
377,sap28_2,Incoherence,dbl+lbl,305,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
378,sap29_2,Illogicality,dbl+lbl,305,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
379,sap30_2,Circumstantiality,dbl+lbl,305,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
380,sap31_2,Pressure of Speech,dbl+lbl,305,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
381,sap32_2,Distractible Speech,dbl+lbl,308,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
382,sap33_2,Clanging,dbl+lbl,305,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
383,sap34_2,Global Rating of Postive Formal Thought Disorder,dbl+lbl,305,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
384,sap1_3,Auditory Hallucinations,dbl+lbl,201,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5)"
385,sap2_3,Voices Commenting,dbl,201,NULL
386,sap3_3,Voices Conversing,dbl+lbl,204,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
387,sap4_3,Somatic or Tactile Hallucinations,dbl+lbl,201,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
388,sap5_3,Olfactory Hallucinations,dbl+lbl,201,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
389,sap6_3,Visual Hallucinations,dbl+lbl,201,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
390,sap7_3,Global Rating of Hallucinations,dbl+lbl,201,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
391,sap8_3,Persecutory Delusions,dbl+lbl,200,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
392,sap9_3,Delusions of Jealousy,dbl+lbl,202,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
393,sap10_3,Delusions of Guilt or Sin,dbl+lbl,201,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
394,sap11_3,Grandiose Delusions,dbl+lbl,201,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
395,sap12_3,Religious Delusions,dbl+lbl,201,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
396,sap13_3,Somatic Delusions,dbl+lbl,202,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
397,sap14_3,Delusions of Reference,dbl+lbl,201,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
398,sap15_3,Delusions of Being Controlled,dbl+lbl,203,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
399,sap16_3,Delusions of Mind Reading,dbl+lbl,201,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
400,sap17_3,Thought Broadcasting,dbl+lbl,201,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
401,sap18_3,Thought Insertion,dbl+lbl,201,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
402,sap19_3,Thought Withdrawal,dbl+lbl,201,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
403,sap20_3,Global Rating of Delusions,dbl+lbl,201,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
404,sap21_3,Clothing and Appearrance,dbl+lbl,200,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
405,sap22_3,Social and Sexual Behaviour,dbl+lbl,200,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
406,sap23_3,Aggressive and Agitated Behaviour,dbl+lbl,200,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
407,sap24_3,Repetitive or Stereotyped Behaviour,dbl+lbl,201,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
408,sap25_3,Global Rating of Bizarre Behaviour,dbl+lbl,201,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
409,sap26_3,Derailment,dbl+lbl,202,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
410,sap27_3,Tangentiality,dbl+lbl,200,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
411,sap28_3,Incoherence,dbl+lbl,201,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
412,sap29_3,Illogicality,dbl+lbl,200,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
413,sap30_3,Circumstantiality,dbl+lbl,200,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
414,sap31_3,Pressure of Speech,dbl+lbl,200,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
415,sap32_3,Distractible Speech,dbl+lbl,201,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
416,sap33_3,Clanging,dbl+lbl,200,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
417,sap34_3,Global Rating of Postive Formal Thought Disorder,dbl+lbl,200,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
418,sap1_6,Auditory Hallucinations,dbl+lbl,242,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
419,sap2_6,Voices Commenting,dbl+lbl,242,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
420,sap3_6,Voices Conversing,dbl+lbl,242,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
421,sap4_6,Somatic or Tactile Hallucinations,dbl+lbl,243,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
422,sap5_6,Olfactory Hallucinations,dbl+lbl,243,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
423,sap6_6,Visual Hallucinations,dbl+lbl,242,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
424,sap7_6,Global Rating of Hallucinations,dbl+lbl,242,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
425,sap8_6,Persecutory Delusions,dbl+lbl,243,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
426,sap9_6,Delusions of Jealousy,dbl+lbl,243,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
427,sap10_6,Delusions of Guilt or Sin,dbl+lbl,243,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
428,sap11_6,Grandiose Delusions,dbl+lbl,243,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
429,sap12_6,Religious Delusions,dbl+lbl,243,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
430,sap13_6,Somatic Delusions,dbl+lbl,243,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
431,sap14_6,Delusions of Reference,dbl+lbl,244,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
432,sap15_6,Delusions of Being Controlled,dbl+lbl,246,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
433,sap16_6,Delusions of Mind Reading,dbl+lbl,243,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
434,sap17_6,Thought Broadcasting,dbl+lbl,243,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
435,sap18_6,Thought Insertion,dbl+lbl,243,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
436,sap19_6,Thought Withdrawal,dbl+lbl,243,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
437,sap20_6,Global Rating of Delusions,dbl+lbl,243,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
438,sap21_6,Clothing and Appearrance,dbl+lbl,242,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
439,sap22_6,Social and Sexual Behaviour,dbl+lbl,242,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
440,sap23_6,Aggressive and Agitated Behaviour,dbl+lbl,243,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
441,sap24_6,Repetitive or Stereotyped Behaviour,dbl+lbl,242,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
442,sap25_6,Global Rating of Bizarre Behaviour,dbl+lbl,243,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
443,sap26_6,Derailment,dbl+lbl,243,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
444,sap27_6,Tangentiality,dbl+lbl,244,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
445,sap28_6,Incoherence,dbl+lbl,244,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
446,sap29_6,Illogicality,dbl+lbl,245,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
447,sap30_6,Circumstantiality,dbl+lbl,244,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
448,sap31_6,Pressure of Speech,dbl+lbl,244,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
449,sap32_6,Distractible Speech,dbl+lbl,245,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
450,sap33_6,Clanging,dbl+lbl,244,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
451,sap34_6,Global Rating of Postive Formal Thought Disorder,dbl+lbl,243,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
452,sap1_9,Auditory Hallucinations,dbl+lbl,320,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
453,sap2_9,Voices Commenting,dbl+lbl,320,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
454,sap3_9,Voices Conversing,dbl+lbl,320,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
455,sap4_9,Somatic or Tactile Hallucinations,dbl+lbl,320,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
456,sap5_9,Olfactory Hallucinations,dbl+lbl,320,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
457,sap6_9,Visual Hallucinations,dbl+lbl,320,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
458,sap7_9,Global Rating of Hallucinations,dbl+lbl,320,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
459,sap8_9,Persecutory Delusions,dbl+lbl,320,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
460,sap9_9,Delusions of Jealousy,dbl+lbl,320,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
461,sap10_9,Delusions of Guilt or Sin,dbl+lbl,320,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
462,sap11_9,Grandiose Delusions,dbl+lbl,320,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
463,sap12_9,Religious Delusions,dbl+lbl,320,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
464,sap13_9,Somatic Delusions,dbl+lbl,320,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
465,sap14_9,Delusions of Reference,dbl+lbl,320,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
466,sap15_9,Delusions of Being Controlled,dbl,323,NULL
467,sap16_9,Delusions of Mind Reading,dbl+lbl,321,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
468,sap17_9,Thought Broadcasting,dbl,321,NULL
469,sap18_9,Thought Insertion,dbl+lbl,321,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
470,sap19_9,Thought Withdrawal,dbl+lbl,321,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
471,sap20_9,Global Rating of Delusions,dbl+lbl,321,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
472,sap21_9,Clothing and Appearrance,dbl+lbl,322,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
473,sap22_9,Social and Sexual Behaviour,dbl+lbl,321,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
474,sap23_9,Aggressive and Agitated Behaviour,dbl+lbl,322,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
475,sap24_9,Repetitive or Stereotyped Behaviour,dbl+lbl,321,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
476,sap25_9,Global Rating of Bizarre Behaviour,dbl+lbl,320,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
477,sap26_9,Derailment,dbl+lbl,321,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
478,sap27_9,Tangentiality,dbl+lbl,321,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
479,sap28_9,Incoherence,dbl+lbl,321,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
480,sap29_9,Illogicality,dbl+lbl,321,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
481,sap30_9,Circumstantiality,dbl+lbl,321,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
482,sap31_9,Pressure of Speech,dbl+lbl,321,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
483,sap32_9,Distractible Speech,dbl+lbl,321,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
484,sap33_9,Clanging,dbl+lbl,321,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
485,sap34_9,Global Rating of Postive Formal Thought Disorder,dbl+lbl,321,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
486,sap1_12,Auditory Hallucinations,dbl+lbl,302,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
487,sap2_12,Voices Commenting,dbl+lbl,302,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
488,sap3_12,Voices Conversing,dbl+lbl,302,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
489,sap4_12,Somatic or Tactile Hallucinations,dbl+lbl,302,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
490,sap5_12,Olfactory Hallucinations,dbl+lbl,302,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
491,sap6_12,Visual Hallucinations,dbl+lbl,302,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
492,sap7_12,Global Rating of Hallucinations,dbl+lbl,302,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
493,sap8_12,Persecutory Delusions,dbl+lbl,303,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
494,sap9_12,Delusions of Jealousy,dbl+lbl,302,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
495,sap10_12,Delusions of Guilt or Sin,dbl+lbl,302,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
496,sap11_12,Grandiose Delusions,dbl+lbl,302,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
497,sap12_12,Religious Delusions,dbl+lbl,302,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
498,sap13_12,Somatic Delusions,dbl+lbl,302,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
499,sap14_12,Delusions of Reference,dbl+lbl,302,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
500,sap15_12,Delusions of Being Controlled,dbl+lbl,304,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
501,sap16_12,Delusions of Mind Reading,dbl+lbl,302,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
502,sap17_12,Thought Broadcasting,dbl+lbl,304,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
503,sap18_12,Thought Insertion,dbl+lbl,302,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
504,sap19_12,Thought Withdrawal,dbl+lbl,302,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
505,sap20_12,Global Rating of Delusions,dbl+lbl,302,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
506,sap21_12,Clothing and Appearrance,dbl+lbl,303,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
507,sap22_12,Social and Sexual Behaviour,dbl+lbl,303,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
508,sap23_12,Aggressive and Agitated Behaviour,dbl+lbl,303,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
509,sap24_12,Repetitive or Stereotyped Behaviour,dbl+lbl,303,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
510,sap25_12,Global Rating of Bizarre Behaviour,dbl+lbl,303,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
511,sap26_12,Derailment,dbl+lbl,304,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
